Player_Name,batting_style,bowling_style,Dataset,player_id,display_name,full_name,playing_role,new_batting_style,new_bowling_style
RT Ponting,RHB,Right-arm fast,IPL,7133,Ricky Ponting,Ricky Thomas Ponting,Top-order batter,Right-hand bat,Right-arm medium
BB McCullum,RHB,Right-arm fast,IPL,37737,Brendon McCullum,Brendon Barrie McCullum,Wicketkeeper batter,Right-hand bat,Right-arm medium
DJ Hussey,RHB,Off Break,IPL,5766,David Hussey,David John Hussey,Allrounder,Right-hand bat,Right-arm offbreak
Mohammad Hafeez,RHB,Off Break,IPL,41434,Mohammad Hafeez,Mohammad Hafeez,Allrounder,Right-hand bat,Right-arm offbreak
SC Ganguly,LHB,Right-arm fast,IPL,28779,Sourav Ganguly,Sourav Chandidas Ganguly,Batter,Left-hand bat,Right-arm medium
CL White,RHB,Leg Break,IPL,8291,Cameron White,Cameron Leon White,Middle-order batter,Right-hand bat,Legbreak googly
MV Boucher,RHB,Right-arm fast,IPL,44111,Mark Boucher,Mark Verdon Boucher,Wicketkeeper batter,Right-hand bat,Right-arm medium
B Akhil,RHB,Right-arm fast,IPL,26206,Balachandra Akhil,Balachandra Akhil,Bowler,Right-hand bat,Right-arm medium-fast
AA Noffke,RHB,Right-arm fast,IPL,6938,Ashley Noffke,Ashley Allan Noffke,Allrounder,Right-hand bat,Right-arm fast-medium
P Kumar,RHB,Right-arm fast,IPL,30732,Praveen Kumar,Praveenkumar Sakat Singh,Bowler,Right-hand bat,Right-arm medium
Z Khan,RHB,Left-arm fast,IPL,30102,Zaheer Khan,Zaheer Khan,Bowler,Right-hand bat,Left-arm fast-medium
SB Joshi,LHB,Slow left-arm orthodox,IPL,29725,Sunil Joshi,Sunil Bandacharya Joshi,Allrounder,Left-hand bat,Slow left-arm orthodox
W Jaffer,RHB,Off Break,IPL,29646,Wasim Jaffer,Wasim Jaffer,Top-order batter,Right-hand bat,Right-arm offbreak
JH Kallis,RHB,Right-arm fast,IPL,45789,Jacques Kallis,Jacques Henry Kallis,Allrounder,Right-hand bat,Right-arm fast-medium
R Dravid,RHB,Off Break,IPL,28114,Rahul Dravid,Rahul Sharad Dravid,Top-order batter,Right-hand bat,Right-arm offbreak
V Kohli,RHB,Right-arm fast,IPL,253802,Virat Kohli,Virat Kohli,Top-order batter,Right-hand bat,Right-arm medium
MEK Hussey,LHB,Right-arm fast,IPL,5939,Michael Hussey,Michael Edward Killeen Hussey,Middle-order batter,Left-hand bat,Right-arm medium
SK Raina,LHB,Off Break,IPL,33335,Suresh Raina,Suresh Kumar Raina,Middle-order batter,Left-hand bat,Right-arm offbreak
JDP Oram,LHB,Right-arm fast,IPL,38062,Jacob Oram,Jacob David Philip Oram,Allrounder,Left-hand bat,Right-arm fast-medium
S Badrinath,RHB,Off Break,IPL,26806,S Badrinath,Subramaniam Badrinath,Middle-order batter,Right-hand bat,Right-arm offbreak
PA Patel,LHB,,IPL,32242,Parthiv Patel,Parthiv Ajay Patel,Wicketkeeper batter,Left-hand bat,Right-arm offbreak
