id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,result_margin,player_of_match,venue,umpire1,umpire2,umpire3
211048,2005,Auckland,17-02-2005,Australia,New Zealand,Australia,bat,normal,0,Australia,runs,44,RT Ponting,Eden Park,BF Bowden,AL Hill,
211028,2005,Southampton,13-06-2005,England,Australia,England,bat,normal,0,England,runs,100,KP Pietersen,The Rose Bowl,NJ Llong,JW Lloyds,
222678,2005,Johannesburg,21-10-2005,South Africa,New Zealand,New Zealand,field,normal,0,New Zealand,wickets,5,JS Patel,New Wanderers Stadium,IL Howell,BG Jerling,
226374,2006,Brisbane,09-01-2006,Australia,South Africa,Australia,bat,normal,0,Australia,runs,95,DR Martyn,Brisbane Cricket Ground,BNJ Oxenford,RL Parry,
237242,2006,Auckland,16-02-2006,West Indies,New Zealand,New Zealand,field,tie,0,,,0,DR Smith,Eden Park,BF Bowden,AL Hill,
238195,2006,Johannesburg,24-02-2006,South Africa,Australia,South Africa,bat,normal,0,South Africa,runs,2,GC Smith,New Wanderers Stadium,M Erasmus,KH Hurter,
225271,2006,Southampton,15-06-2006,Sri Lanka,England,Sri Lanka,bat,normal,0,Sri Lanka,runs,2,ST Jayasuriya,The Rose Bowl,IJ Gould,NJ Llong,
225263,2006,Bristol,28-08-2006,England,Pakistan,England,bat,normal,0,Pakistan,wickets,5,Shahid Afridi,County Ground,PJ Hartley,NJ Llong,
255954,2006,Johannesburg,01-12-2006,South Africa,India,South Africa,bat,normal,0,India,wickets,6,KD Karthik,New Wanderers Stadium,IL Howell,BG Jerling,
251487,2006,Wellington,22-12-2006,New Zealand,Sri Lanka,New Zealand,bat,normal,1,Sri Lanka,runs,18,ST Jayasuriya,Westpac Stadium,AL Hill,EA Watkin,
251488,2006,Auckland,26-12-2006,Sri Lanka,New Zealand,New Zealand,field,normal,0,New Zealand,wickets,5,JEC Franklin,Eden Park,BF Bowden,AL Hill,
249227,2007,Sydney,09-01-2007,Australia,England,Australia,bat,normal,0,Australia,runs,77,CL White,Sydney Cricket Ground,PD Parker,RL Parry,
258463,2007,London,28-06-2007,West Indies,England,West Indies,bat,normal,0,West Indies,runs,15,PD Collingwood,Kennington Oval,PJ Hartley,NJ Llong,
258464,2007,London,29-06-2007,West Indies,England,West Indies,bat,normal,0,England,wickets,5,OA Shah,Kennington Oval,IJ Gould,NJ Llong,
306987,2007,Nairobi,01-09-2007,Kenya,Bangladesh,Bangladesh,field,normal,0,Bangladesh,wickets,5,Nazimuddin,Gymkhana Club Ground,R D'Mello,SR Modi,
306989,2007,Nairobi,02-09-2007,Pakistan,Bangladesh,Bangladesh,field,normal,0,Pakistan,runs,30,Imran Nazir,Gymkhana Club Ground,R D'Mello,SR Modi,
306991,2007,Nairobi,04-09-2007,Kenya,Pakistan,Kenya,bat,normal,0,Pakistan,wickets,8,Younis Khan,Gymkhana Club Ground,SR Modi,IO Oyieko,
287853,2007,Johannesburg,11-09-2007,West Indies,South Africa,South Africa,field,normal,0,South Africa,wickets,8,CH Gayle,New Wanderers Stadium,MR Benson,DJ Harper,
287854,2007,Durban,12-09-2007,Kenya,New Zealand,New Zealand,field,normal,0,New Zealand,wickets,9,MR Gillespie,Kingsmead,BR Doctrove,SJA Taufel,
287855,2007,Durban,12-09-2007,Pakistan,Scotland,Scotland,field,normal,0,Pakistan,runs,51,Shahid Afridi,Kingsmead,SJ Davis,SJA Taufel,
287856,2007,Cape Town,12-09-2007,Australia,Zimbabwe,Australia,bat,normal,0,Zimbabwe,wickets,5,BRM Taylor,Newlands,Asad Rauf,AL Hill,
287857,2007,Johannesburg,13-09-2007,West Indies,Bangladesh,Bangladesh,field,normal,0,Bangladesh,wickets,6,Mohammad Ashraful,New Wanderers Stadium,MR Benson,NJ Llong,
287858,2007,Cape Town,13-09-2007,England,Zimbabwe,England,bat,normal,0,England,runs,50,KP Pietersen,Newlands,Asad Rauf,AL Hill,
287860,2007,Johannesburg,14-09-2007,Sri Lanka,Kenya,Kenya,field,normal,0,Sri Lanka,runs,172,ST Jayasuriya,New Wanderers Stadium,DJ Harper,NJ Llong,
287861,2007,Cape Town,14-09-2007,England,Australia,England,bat,normal,0,Australia,wickets,8,NW Bracken,Newlands,Asad Rauf,IL Howell,
287862,2007,Durban,14-09-2007,India,Pakistan,Pakistan,field,tie,0,,,0,Mohammad Asif,Kingsmead,BR Doctrove,SJA Taufel,
