id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,result_margin,player_of_match,venue,umpire1,umpire2,umpire3
1146789,2018,Mumbai,22-05-2018,Trailblazers,Supernovas,Supernovas,field,normal,0,Supernovas,wickets,3,SW Bates,Wankhede Stadium,R Pandit,UV Gandhe,
1181893,2019,Jaipur,06-05-2019,Trailblazers,Supernovas,Supernovas,field,normal,0,Trailblazers,runs,2,S Mandhana,Sawai Mansingh Stadium,K Srinath,N Pandit,
1181894,2019,Jaipur,08-05-2019,Trailblazers,Velocity,Velocity,field,normal,0,Velocity,wickets,3,DN Wyatt,Sawai Mansingh Stadium,N Pandit,GR Sadashiv Iyer,
1181895,2019,Jaipur,09-05-2019,Supernovas,Velocity,Velocity,field,normal,0,Supernovas,runs,12,JI Rodrigues,Sawai Mansingh Stadium,GR Sadashiv Iyer,HAS Khalid,
1181896,2019,Jaipur,11-05-2019,Velocity,Supernovas,Supernovas,field,normal,0,Supernovas,wickets,4,H Kaur,Sawai Mansingh Stadium,K Srinath,HAS Khalid,
1235586,2020,Sharjah,04-11-2020,Supernovas,Velocity,Velocity,field,normal,0,Velocity,wickets,5,S Luus,Sharjah Cricket Stadium,UV Gandhe,YC Barde,
1235587,2020,Sharjah,05-11-2020,Velocity,Trailblazers,Velocity,bat,normal,0,Trailblazers,wickets,9,S Ecclestone,Sharjah Cricket Stadium,K Srinivasan,PG Pathak,
1235588,2020,Sharjah,07-11-2020,Supernovas,Trailblazers,Supernovas,bat,normal,0,Supernovas,runs,2,AC Jayangani,Sharjah Cricket Stadium,AY Dandekar,YC Barde,
1235589,2020,Sharjah,09-11-2020,Trailblazers,Supernovas,Supernovas,field,normal,0,Trailblazers,runs,16,S Mandhana,Sharjah Cricket Stadium,UV Gandhe,YC Barde,
1314903,2022,Pune,23-05-2022,Supernovas,Trailblazers,Supernovas,bat,normal,0,Supernovas,runs,49,P Vastrakar,Maharashtra Cricket Association Stadium,N Janani,VG Rathi,
1314904,2022,Pune,24-05-2022,Supernovas,Velocity,Velocity,field,normal,0,Velocity,wickets,7,H Kaur,Maharashtra Cricket Association Stadium,N Janani,VG Rathi,
1314905,2022,Pune,26-05-2022,Trailblazers,Velocity,Velocity,field,normal,0,Trailblazers,runs,16,JI Rodrigues,Maharashtra Cricket Association Stadium,Gayathri Venugopal,VG Rathi,
1314906,2022,Pune,28-05-2022,Supernovas,Velocity,Velocity,field,normal,0,Supernovas,runs,4,DJS Dottin,Maharashtra Cricket Association Stadium,N Janani,VG Rathi,
